time,USD_JPY_close,USD_JPY_volume
2019-01-18T21:20:00.000000000Z,109.704,26
2019-01-18T21:25:00.000000000Z,109.708,18
2019-01-18T21:30:00.000000000Z,109.729,26
2019-01-18T21:35:00.000000000Z,109.751,35
2019-01-18T21:40:00.000000000Z,109.754,15
2019-01-18T21:45:00.000000000Z,109.750,45
2019-01-18T21:50:00.000000000Z,109.754,32
2019-01-18T21:55:00.000000000Z,109.774,29
2019-01-20T22:00:00.000000000Z,109.737,11
2019-01-20T22:05:00.000000000Z,109.734,50
2019-01-20T22:10:00.000000000Z,109.736,86
2019-01-20T22:15:00.000000000Z,109.738,173
2019-01-20T22:20:00.000000000Z,109.738,18
2019-01-20T22:25:00.000000000Z,109.760,56
2019-01-20T22:30:00.000000000Z,109.760,16
2019-01-20T22:35:00.000000000Z,109.754,11
2019-01-20T22:40:00.000000000Z,109.747,33
2019-01-20T22:45:00.000000000Z,109.740,6
2019-01-20T22:50:00.000000000Z,109.738,18
2019-01-20T22:55:00.000000000Z,109.738,36
2019-01-20T23:00:00.000000000Z,109.736,64
2019-01-20T23:05:00.000000000Z,109.736,8
2019-01-20T23:10:00.000000000Z,109.728,53
2019-01-20T23:15:00.000000000Z,109.698,25
2019-01-20T23:20:00.000000000Z,109.697,20
2019-01-20T23:25:00.000000000Z,109.718,26
2019-01-20T23:30:00.000000000Z,109.740,46
2019-01-20T23:35:00.000000000Z,109.754,38
2019-01-20T23:40:00.000000000Z,109.714,37
2019-01-20T23:45:00.000000000Z,109.694,43
2019-01-20T23:50:00.000000000Z,109.680,38
2019-01-20T23:55:00.000000000Z,109.682,49
2019-01-21T00:00:00.000000000Z,109.646,120
2019-01-21T00:05:00.000000000Z,109.602,75
2019-01-21T00:10:00.000000000Z,109.638,88
2019-01-21T00:15:00.000000000Z,109.626,79
2019-01-21T00:20:00.000000000Z,109.604,49
2019-01-21T00:25:00.000000000Z,109.634,110
2019-01-21T00:30:00.000000000Z,109.652,34
2019-01-21T00:35:00.000000000Z,109.664,39
2019-01-21T00:40:00.000000000Z,109.664,46
2019-01-21T00:45:00.000000000Z,109.692,69
2019-01-21T00:50:00.000000000Z,109.648,79
2019-01-21T00:55:00.000000000Z,109.629,68
2019-01-21T01:00:00.000000000Z,109.594,67
2019-01-21T01:05:00.000000000Z,109.520,156
2019-01-21T01:10:00.000000000Z,109.508,164
2019-01-21T01:15:00.000000000Z,109.510,139
2019-01-21T01:20:00.000000000Z,109.507,102
2019-01-21T01:25:00.000000000Z,109.531,76
2019-01-21T01:30:00.000000000Z,109.554,132
2019-01-21T01:35:00.000000000Z,109.578,115
2019-01-21T01:40:00.000000000Z,109.562,81
2019-01-21T01:45:00.000000000Z,109.534,80
2019-01-21T01:50:00.000000000Z,109.540,36
2019-01-21T01:55:00.000000000Z,109.526,49
2019-01-21T02:00:00.000000000Z,109.623,174
2019-01-21T02:05:00.000000000Z,109.608,55
2019-01-21T02:10:00.000000000Z,109.606,35
2019-01-21T02:15:00.000000000Z,109.606,24
2019-01-21T02:20:00.000000000Z,109.592,101
2019-01-21T02:25:00.000000000Z,109.616,38
2019-01-21T02:30:00.000000000Z,109.655,76
2019-01-21T02:35:00.000000000Z,109.654,40
2019-01-21T02:40:00.000000000Z,109.645,42
2019-01-21T02:45:00.000000000Z,109.656,70
2019-01-21T02:50:00.000000000Z,109.682,49
2019-01-21T02:55:00.000000000Z,109.704,77
2019-01-21T03:00:00.000000000Z,109.680,59
2019-01-21T03:05:00.000000000Z,109.687,49
2019-01-21T03:10:00.000000000Z,109.679,21
2019-01-21T03:15:00.000000000Z,109.662,29
2019-01-21T03:20:00.000000000Z,109.678,36
2019-01-21T03:25:00.000000000Z,109.647,17
2019-01-21T03:30:00.000000000Z,109.637,38
2019-01-21T03:35:00.000000000Z,109.638,34
2019-01-21T03:40:00.000000000Z,109.646,23
2019-01-21T03:45:00.000000000Z,109.653,41
2019-01-21T03:50:00.000000000Z,109.640,27
