time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2018-04-16T04:58:00.000000000Z,1.23316,15.0,1.42568,12.0,107.242,4.0,0.86500,2.0,132.247,3.0,152.890,9.0
2018-04-16T04:59:00.000000000Z,1.23311,7.0,1.42567,6.0,107.250,11.0,0.86500,2.0,132.251,9.0,152.898,14.0
2018-04-16T05:00:00.000000000Z,1.23321,7.0,1.42576,26.0,107.236,8.0,0.86500,2.0,132.244,10.0,152.888,15.0
2018-04-16T05:01:00.000000000Z,1.23313,13.0,1.42566,15.0,107.236,2.0,0.86500,4.0,132.237,6.0,152.878,12.0
2018-04-16T05:02:00.000000000Z,1.23312,13.0,1.42566,26.0,107.236,8.0,0.86498,3.0,132.231,14.0,152.876,21.0
2018-04-16T05:03:00.000000000Z,1.23308,10.0,1.42561,12.0,107.226,12.0,0.86498,3.0,132.220,7.0,152.858,17.0
2018-04-16T05:04:00.000000000Z,1.23297,14.0,1.42562,17.0,107.228,5.0,0.86490,6.0,132.208,13.0,152.860,17.0
2018-04-16T05:05:00.000000000Z,1.23302,9.0,1.42538,20.0,107.231,7.0,0.86500,5.0,132.216,9.0,152.850,19.0
2018-04-16T05:06:00.000000000Z,1.23300,4.0,1.42528,24.0,107.242,6.0,0.86507,5.0,132.230,4.0,152.856,14.0
2018-04-16T05:07:00.000000000Z,1.23298,6.0,1.42536,51.0,107.246,4.0,0.86502,4.0,132.237,6.0,152.870,10.0
2018-04-16T05:08:00.000000000Z,1.23304,12.0,1.42534,25.0,107.244,7.0,0.86504,1.0,132.234,5.0,152.864,13.0
2018-04-16T05:09:00.000000000Z,1.23300,6.0,1.42532,11.0,107.244,2.0,0.86504,1.0,132.234,5.0,152.862,5.0
2018-04-16T05:10:00.000000000Z,1.23300,6.0,1.42534,6.0,107.244,2.0,0.86504,1.0,132.234,5.0,152.862,5.0
2018-04-16T05:11:00.000000000Z,1.23312,3.0,1.42544,20.0,107.228,10.0,0.86509,2.0,132.223,5.0,152.844,18.0
2018-04-16T05:12:00.000000000Z,1.23314,19.0,1.42539,8.0,107.218,16.0,0.86512,3.0,132.213,16.0,152.830,23.0
2018-04-16T05:13:00.000000000Z,1.23310,10.0,1.42539,8.0,107.214,9.0,0.86512,3.0,132.206,12.0,152.827,15.0
2018-04-16T05:14:00.000000000Z,1.23310,10.0,1.42539,8.0,107.210,8.0,0.86512,3.0,132.200,6.0,152.816,9.0
