time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,EUR_GBP_close,EUR_GBP_volume
2018-04-16T17:12:00.000000000Z,1.23784,15.0,1.43231,15.0,0.86422,5.0
2018-04-16T17:13:00.000000000Z,1.23778,10.0,1.43245,2.0,0.86416,5.0
2018-04-16T17:14:00.000000000Z,1.23784,21.0,1.43252,19.0,0.86412,8.0
2018-04-16T17:15:00.000000000Z,1.23780,12.0,1.43255,15.0,0.86407,6.0
2018-04-16T17:16:00.000000000Z,1.23784,6.0,1.43262,1.0,0.86406,2.0
2018-04-16T17:17:00.000000000Z,1.23790,7.0,1.43262,1.0,0.86410,3.0
2018-04-16T17:18:00.000000000Z,1.23786,5.0,1.43256,9.0,0.86408,3.0
2018-04-16T17:19:00.000000000Z,1.23793,22.0,1.43266,12.0,0.86408,6.0
2018-04-16T17:20:00.000000000Z,1.23782,22.0,1.43246,24.0,0.86412,4.0
2018-04-16T17:21:00.000000000Z,1.23782,10.0,1.43254,10.0,0.86410,5.0
2018-04-16T17:22:00.000000000Z,1.23792,17.0,1.43266,9.0,0.86410,5.0
2018-04-16T17:23:00.000000000Z,1.23793,7.0,1.43267,21.0,0.86409,6.0
2018-04-16T17:24:00.000000000Z,1.23784,12.0,1.43266,10.0,0.86404,4.0
2018-04-16T17:25:00.000000000Z,1.23786,36.0,1.43266,1.0,0.86402,3.0
2018-04-16T17:26:00.000000000Z,1.23784,15.0,1.43266,7.0,0.86404,5.0
2018-04-16T17:27:00.000000000Z,1.23780,5.0,1.43266,6.0,0.86401,1.0
2018-04-16T17:28:00.000000000Z,1.23775,11.0,1.43248,27.0,0.86408,3.0
2018-04-16T17:29:00.000000000Z,1.23775,19.0,1.43247,16.0,0.86406,1.0
2018-04-16T17:30:00.000000000Z,1.23770,11.0,1.43250,20.0,0.86402,6.0
2018-04-16T17:31:00.000000000Z,1.23768,15.0,1.43244,12.0,0.86400,5.0
2018-04-16T17:32:00.000000000Z,1.23766,12.0,1.43244,10.0,0.86402,3.0
2018-04-16T17:33:00.000000000Z,1.23778,3.0,1.43249,16.0,0.86406,4.0
2018-04-16T17:34:00.000000000Z,1.23773,12.0,1.43248,8.0,0.86402,2.0
2018-04-16T17:35:00.000000000Z,1.23766,4.0,1.43245,6.0,0.86402,4.0
2018-04-16T17:36:00.000000000Z,1.23767,8.0,1.43245,6.0,0.86406,2.0
2018-04-16T17:37:00.000000000Z,1.23770,3.0,1.43245,6.0,0.86406,2.0
2018-04-16T17:38:00.000000000Z,1.23765,10.0,1.43245,6.0,0.86402,2.0
2018-04-16T17:39:00.000000000Z,1.23772,7.0,1.43251,21.0,0.86402,4.0
2018-04-16T17:40:00.000000000Z,1.23768,7.0,1.43251,5.0,0.86402,2.0
2018-04-16T17:41:00.000000000Z,1.23764,12.0,1.43249,15.0,0.86398,6.0
2018-04-16T17:42:00.000000000Z,1.23782,13.0,1.43258,11.0,0.86401,3.0
2018-04-16T17:43:00.000000000Z,1.23785,16.0,1.43252,22.0,0.86406,4.0
2018-04-16T17:44:00.000000000Z,1.23778,5.0,1.43252,6.0,0.86404,1.0
2018-04-16T17:45:00.000000000Z,1.23776,1.0,1.43252,6.0,0.86404,1.0
2018-04-16T17:47:00.000000000Z,1.23770,2.0,1.43249,18.0,0.86402,3.0
2018-04-16T17:48:00.000000000Z,1.23777,7.0,1.43250,12.0,0.86404,3.0
